Name,Description,Template
Fanchatter, aggregates amplifies and empowers fan content on every screen to promote any interest ,6
Flightcaster, offers service that predicts flight delays enabling travelers to proactively plan based on the predicted flight delay ,6
Lumoid,we are try before you buy service consumer electronics  ,5.2
HighlightCam, edits video automatically  ,6
Etleap,etl big data ,6
Jobspice, offers an online tool that enables users to create webbased and pdfversioned resumes in various styles ,6
GrepData,big data analytics ,5.2
Logiblock, engineers electronics and development tools to dramatically accelerate your ideas into physical products ,5.2
Medisas, builds workflow   collaboration software hospitals ,5.1
Mixpanel, is the most advanced analytics platform in the world mobile   web ,6
NudgePad,online ide we joined microsoft in      ,6
RoverRide,a universal urban transit app given all transportation options available to you rover will give you the optimal route choice *right now* using realtime data each transit mode  ,6
VaycayHero, is marketplace of professionally managed vacation rentals ,5.2
RentHop,apartment rental marketplace ,6
9gag,make the world happier ,5.2
Crohnology,"we turn patients into researchers 
we empower every patient with tools to contribute towards research their cure ",1
FundersClub,online vc ,6
Stripe,online payments ,1
Wakemate, is an electronic device that records users' sleep data and sounds within the   minute window prior to the set alarm time ,6
WePay,payments platform businesses ,6
Instacart,groceries delivered fast ,5.2
Cloudkick, is webbased control hub cloud servers that offers its users with centralized server monitoring and management tools ,6
Divvyshot, is photosharing platform that enables users to share full resolution photos with friends ,6
Kamcord, is social media platform allowing its users to post and interact through video content ,5.2
Statwing, simple statistical analysis software like or spss but easy to use,6
TomoGuides,mobile travel guides done right  personalized contextaware and offlinefriendly  ,5.2
Vayable,we're building marketplace unique travel experiences  it's airbnb the part of your vacation when you're not sleeping  ,4
42Floors,we make it easy to search office space ,5.2
Picurio, is webbased photo sharing and photo management software ,6
Recurious,thesixtyone is music discovery game that connects artists and fans ,6
reMail,email search iphone ,1
Skysheet,browserbased spreadsheet ,6
Spaces Life,we make renting home easy booking hotel ,2
99dresses,we're creating every women's fantasy by combining the unwanted fashion collections of potential    young us women into one massive infinite closet that can be accessed on demand  ,5.2
Amiato,the bi bridge unstructured data we automatically bridge the gap between unstructured data sources and the rich world of structured bi tools run reports on mongodb tableau on event streams excel on logs ,4
Wattvision,sensors and software energy tracking like 'fitbit' your house customers include universities energy auditors landlords and consumers ,6
Authy, is twofactor authentication platform developers ,4
Backtype, is marketing intelligence platform that helps brands and agencies understand the business impact of social media ,6
Cloudant,nosql data base now ibm cloud data services ,6
iCracked,ondemand smartphone repair in   countries and launching smart home installation think of us like white labeled geek squad retailers insurance co's and telco's  ,5.2
Frogmetrics, offers touchscreen mobile device to gather customer feedback enabling companies and researchers to capture data in realtime ,6
Job Alchemist, builds online recruiting software ,2
OhLife, is personal journal that you'll actually keep every day we send you an email asking  úhow'd your day go? ù you type much you ,6
Graffiti Labs,building game,3.2
Poll Everywhere, audience feedback ,2
Popcuts, is an online music store where fans participate in the success of the music they love every time someone buys song you already own you earn part of those    cents    just being trendspotter  ,6
Medmonk,a tool pharmacists to find funding patients who are unable to pay their medications ,6
Pixelapse,github designers we automatically keep track of revisions of photoshop illustrator and other design files and back them up securely designers can collaborate with their team members to get feedback and iterate on their designs ,6
Slinkset,votable lists ,6
Swiftype,smart search the modern team ,6
Team Apart, realtime online group collaboration tool ,2
Ticket Stumbler,search engine and comparison website the secondary ticket market ,2
Youlicit, is recommendation engine that enables users to get relevant recommendations based on personal interests ,6
Launchpad Toys,creativity at play  tablet toys,3.2
280 North, is web software development platform enabling users to build applications through its proprietary tech toolkit cappuccino ,3.2
Cryptoseal,server key management vpn service privacy vpn  sold to cloudflare in      ,6
Rentobo,"the easiest way to find tenant
 is tool that makes it easy rental landlords and property managers to advertise their listings and accept rental applications online ",5.2
Acunote,project management ,5.2
Insoshi, is social networking platform ,6
Joberator, is search recruitment and talent acquisition platform connecting skilled professionals with indemand employers ,6
Machine Zone,mobile games ,2
MightyQuiz, an online collection of usergenerated quizzes enables users to answer and rate quizzes via distributable widget and the web ,6
Mixwit,"online mixtape service  create and share mixtapes  launched part of   batch stopped at the end of      due to negative forecast  grey area  online music services

formed new partnership in      cloudtv ",6
Apportable,ios porting ,5.2
Instapainting,the most popular custom oil painting service in the world work with an artist to get custom piece of handpainted artwork in under   weeks ,5.2
RescueTime, is webbased time management tool that tracks the activities and duration of users' computer usage ,6
Snaptalent, is distributed job advertisement network developer listings ,6
Socialbrowse, is firefox extension sharing links it has been described twitter links ,6
Tipjoy,social micropayments ,6
Trigger,better phonegap ,1
Wundrbar, wants to improve upon the search bar experience by providing users with powerful inline commands ,6
1000Memories,memorial sites ,5.2
Appjet, is an online programming tool and webbased text editor building simple web applications ,6
Koduco,ipad games ,4
Blue Frog Gaming, is team of software craftsmen pixel perfect artists and game enthusiasts based in ohio developing games ,2
Pribbit,like twitter but you post others' status ,4
Clickpass, offers openid browser installation that allows users to sign on to multiple web sites with single credential ,6
ContestMachine,roll your own contest or giveaway  no longer in business ,6
Disqus,add comments to your website ,4
Dropbox,backup and share files in the cloud ,6
Simperium,simplenote  simplenotecom  and the  platform syncing data,5.2
500Friends,the best loyalty and retention marketing partner cmos  ,5.2
Hello Chair, focused on exploring opportunities in applied machine learning and internet advertising ,2
Etacts, is crm tool enabling users to stay in touch with people in their address book ,5.2
GraffitiGeo,we let you know where to go and what to get once you get there,5.2
SocialPicks, was platform where stock investors could exchange ideas track stock performance and conduct research ,6
Songkick, is ticketing vendor and online database of concerts music enthusiasts ,6
Splashup, is webbased image editor that integrates with flickr facebook and picasa ,6
Olark,the best live chat software on the planet  we help you build relationships with website visitors boost sales and make your customers love you ,5.2
Plurchase, is an online social shopping site that allows their customers to chat with others ,5.2
Buxfer, helps you make better spending decisions by making it easy to see all your accounts at one place understand where your money goes reduce unwanted spending and save future goals ,4
Heysan, was mobile community and instant messaging service started in      that quickly grew in popularity and raised seed and venture,6
PetaSales,online advertising startup ,6
Socialmoth, is an online community allowing individuals to post and share their thoughts and ideas anonymously ,6
Voxli, offers browserbased group voice chat gamers and teams ,4
Twitch,video game live streaming ,1
Virtualmin, is web hosting control panel linux and berkeley software distribution  bsd  systems ,6
YumDots,mobile restaurant search site ,5.2
Whitenoise,music industry social network ,6
WriteWith, is collaborative writing web app that supports users in writing editing and publishing documents with group ,6
Biographicon, is wikibased website containing biographies of famous and nonfamous people ,5.1
Jamglue, is music remixing community on the web ,6
Likebetter,an online personality test game where you look at two photos and choose which one you  úlike better ù ,6
Eivod,cloudant provides distributed data base service that scales and manages the databases of web and mobile app developers ,4
Pollground,online polls ,6
Scribd,world's largest online library ,4
Talkito,"looking people to talk with in your city?   enjoy chat with the fun coming soon ",6
ZumoDrive,easily access all your files on all your devices ,5.2
Auctomatic, offers an auction and marketplace management system individual sellers on the website ,4
Clustrix,db is sql database engineered the cloud built specifically to meet the unique performance demands of ecommerce merchants ,4
Octopart, is search engine electronic components ,5.2
Inkling, offers collective intelligence solutions businesses to make operational and strategic decisions ,1
Project Wedding,finding wedding vendors is hard in      couple started  to tackle this problem and eventually grew it into ,2
Snipshot,we sold  to ansa in      ,6
Wufoo,online form builder ,6
Airtime, is live video platform that allows people to stay in touch with their closest family and friends through realtime sharing ,4
Clickfacts, is malware software solutions company providing services online media buyers and sellers ,6
Kiko,we're the best online calendar solution to ever exist period ,4
Tsumobi,messaging ,5.2
Zenter,easy professional presentations ,5.2
Parakey, is webbased operating system that synchronizes the user's desktop environment with the web ,6
Posthaven,blogging forever ,6
Omgpop, is leading developer of social games facebook iphone and the open web ,5.2
Xobni, creates complete and searchable social profiles of user's contacts that include updates linkedin facebook and twitter ,4
TextPayMe, is an sms payment service that allows users to send money to others using text messages ,6
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
